Date,Site,Rep,Treatment,Photo_ID,Total_Area,Bare_Rock_Percent,Fleshy_algae,Algal_crust,Chthamalus,Amphibalanus,Corraline_algae,Tetraclita,Megabalanus,Tetraclita_dead,Dark Brown Barnacle (look up later),Crab
2/12/24,South,1,Cage,,,100,,,,,,,,,,
2/12/24,South,2,Cage,,,100,,,,,,,,,,
2/12/24,South,3,Cage,,,100,,,,,,,,,,
2/12/24,South,4,Cage,,,100,,,,,,,,,,
2/12/24,South,5,Cage,,,100,,,,,,,,,,
2/12/24,South,6,Cage,,,100,,,,,,,,,,
2/12/24,South,7,Cage,,,100,,,,,,,,,,
2/12/24,South,1,Control,,,100,,,,,,,,,,
2/12/24,South,2,Control,,,100,,,,,,,,,,
2/12/24,South,3,Control,,,100,,,,,,,,,,
2/12/24,South,4,Control,,,100,,,,,,,,,,
2/12/24,South,5,Control,,,100,,,,,,,,,,
2/12/24,South,6,Control,,,100,,,,,,,,,,
2/12/24,South,7,Control,,,100,,,,,,,,,,
2/12/24,South,1,Roof,,,100,,,,,,,,,,
2/12/24,South,2,Roof,,,100,,,,,,,,,,
2/12/24,South,3,Roof,,,100,,,,,,,,,,
2/12/24,South,4,Roof,,,100,,,,,,,,,,
2/12/24,South,5,Roof,,,100,,,,,,,,,,
2/12/24,South,6,Roof,,,100,,,,,,,,,,
2/12/24,South,7,Roof,,,100,,,,,,,,,,
2/14/24,North,1,Cage,,,100,,,,,,,,,,
2/14/24,North,2,Cage,,,100,,,,,,,,,,
2/14/24,North,3,Cage,,,100,,,,,,,,,,
2/14/24,North,4,Cage,,,100,,,,,,,,,,
2/14/24,North,5,Cage,,,100,,,,,,,,,,
2/14/24,North,6,Cage,,,100,,,,,,,,,,
2/14/24,North,7,Cage,,,100,,,,,,,,,,
2/14/24,North,1,Control,,,100,,,,,,,,,,
2/14/24,North,2,Control,,,100,,,,,,,,,,
2/14/24,North,3,Control,,,100,,,,,,,,,,
2/14/24,North,4,Control,,,100,,,,,,,,,,
2/14/24,North,5,Control,,,100,,,,,,,,,,
2/14/24,North,6,Control,,,100,,,,,,,,,,
2/14/24,North,7,Control,,,100,,,,,,,,,,
2/14/24,North,1,Roof,,,100,,,,,,,,,,
2/14/24,North,2,Roof,,,100,,,,,,,,,,
2/14/24,North,3,Roof,,,100,,,,,,,,,,
2/14/24,North,4,Roof,,,100,,,,,,,,,,
2/14/24,North,5,Roof,,,100,,,,,,,,,,
2/14/24,North,6,Roof,,,100,,,,,,,,,,
2/14/24,North,7,Roof,,,100,,,,,,,,,,
3/13/24,North,1,Control,,107.025,0.98028498,2.11,,,,,,,,,
3/13/24,North,1,Cage,,121.755,0.998496982,,0.183,,,,,,,,
3/13/24,North,1,Roof,,101.38,0.991724206,,0.839,,,,,,,,
3/13/24,North,2,Control,,,100,,,,,,,,,,
3/13/24,North,2,Cage,,107.388,0.994841137,0.118,0.436,,,,,,,,
3/13/24,North,2,Roof,,114.056,0.996001964,,0.456,,,,,,,,
3/13/24,North,3,Control,,,100,,,,,,,,,,
3/13/24,North,3,Cage,,92.25,0.99699729,,0.277,,,,,,,,
3/13/24,North,3,Roof,,96.252,0.997059801,,0.283,,,,,,,,
3/13/24,North,4,Control,,,100,,,,,,,,,,
3/13/24,North,4,Cage,,100.612,0.999095535,,0.091,,,,,,,,
3/13/24,North,4,Roof,,,100,,,,,,,,,,
3/13/24,North,5,Control,,,100,,,,,,,,,,
3/13/24,North,5,Cage,,104.252,0.955319802,2.348,2.31,,,,,,,,
3/13/24,North,5,Roof,,124.195,0.993606828,0.444,0.35,,,,,,,,
3/13/24,North,6,Control,,97.042,0.991879805,0.788,,,,,,,,,
3/13/24,North,6,Cage,,81.841,0.974902555,1.955,0.099,,,,,,,,
3/13/24,North,6,Roof,,88.463,0.999694788,,,0.027,,,,,,,
3/13/24,North,7,Control,,91.833,0.997441007,0.235,,,,,,,,,
