"Plot Title: Sellke Windward 1"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20641415, SEN S/N: 20641415)","Intensity, Lux (LGR S/N: 20641415, SEN S/N: 20641415)","Coupler Attached (LGR S/N: 20641415)","Host Connected (LGR S/N: 20641415)","Stopped (LGR S/N: 20641415)","End Of File (LGR S/N: 20641415)"
1,03/20/24 05:00:00 PM,22.525,0.0,,,,
2,03/20/24 05:30:00 PM,22.429,0.0,,,,
3,03/20/24 06:00:00 PM,22.142,0.0,,,,
4,03/20/24 06:30:00 PM,21.855,0.0,,,,
5,03/20/24 07:00:00 PM,21.760,0.0,,,,
6,03/20/24 07:30:00 PM,21.951,0.0,,,,
7,03/20/24 08:00:00 PM,22.046,0.0,,,,
8,03/20/24 08:30:00 PM,22.142,0.0,,,,
9,03/20/24 09:00:00 PM,22.238,0.0,,,,
10,03/20/24 09:30:00 PM,21.951,0.0,,,,
11,03/20/24 10:00:00 PM,21.760,0.0,,,,
12,03/20/24 10:30:00 PM,21.951,0.0,,,,
13,03/20/24 11:00:00 PM,22.046,0.0,,,,
14,03/20/24 11:30:00 PM,22.142,0.0,,,,
15,03/21/24 12:00:00 AM,22.142,0.0,,,,
16,03/21/24 12:30:00 AM,22.238,0.0,,,,
17,03/21/24 01:00:00 AM,22.142,0.0,,,,
18,03/21/24 01:30:00 AM,21.855,0.0,,,,
19,03/21/24 02:00:00 AM,21.855,0.0,,,,
20,03/21/24 02:30:00 AM,21.951,0.0,,,,
21,03/21/24 03:00:00 AM,22.142,0.0,,,,
22,03/21/24 03:30:00 AM,22.142,0.0,,,,
23,03/21/24 04:00:00 AM,22.238,0.0,,,,
24,03/21/24 04:30:00 AM,22.046,0.0,,,,
25,03/21/24 05:00:00 AM,21.855,0.0,,,,
26,03/21/24 05:30:00 AM,21.855,0.0,,,,
27,03/21/24 06:00:00 AM,22.046,0.0,,,,
28,03/21/24 06:30:00 AM,22.142,0.0,,,,
29,03/21/24 07:00:00 AM,22.238,0.0,,,,
30,03/21/24 07:30:00 AM,22.238,0.0,,,,
31,03/21/24 08:00:00 AM,26.781,312.2,,,,
32,03/21/24 08:30:00 AM,27.961,5166.7,,,,
33,03/21/24 09:00:00 AM,26.000,3961.1,,,,
34,03/21/24 09:30:00 AM,26.195,7233.4,,,,
35,03/21/24 10:00:00 AM,26.195,10333.4,,,,
36,03/21/24 10:30:00 AM,26.195,12400.1,,,,
37,03/21/24 11:00:00 AM,26.390,9300.1,,,,
38,03/21/24 11:30:00 AM,26.683,26178.0,,,,
39,03/21/24 12:00:00 PM,26.879,28933.5,,,,
40,03/21/24 12:30:00 PM,26.977,24800.2,,,,
41,03/21/24 01:00:00 PM,27.272,15844.5,,,,
42,03/21/24 01:30:00 PM,27.468,52355.9,,,,
43,03/21/24 02:00:00 PM,27.272,22044.6,,,,
44,03/21/24 02:30:00 PM,26.977,20666.8,,,,
45,03/21/24 03:00:00 PM,25.319,22044.6,,,,
46,03/21/24 03:30:00 PM,25.416,15844.5,,,,
47,03/21/24 04:00:00 PM,25.028,15155.7,,,,
48,03/21/24 04:30:00 PM,25.125,12400.1,,,,
49,03/21/24 05:00:00 PM,25.319,5166.7,,,,
50,03/21/24 05:30:00 PM,25.125,4822.3,,,,
51,03/21/24 06:00:00 PM,25.222,4305.6,,,,
52,03/21/24 06:30:00 PM,24.448,4133.4,,,,
53,03/21/24 07:00:00 PM,23.869,1980.6,,,,
54,03/21/24 07:30:00 PM,24.738,75.3,,,,
55,03/21/24 08:00:00 PM,24.738,0.0,,,,
56,03/21/24 08:30:00 PM,24.448,0.0,,,,
57,03/21/24 09:00:00 PM,24.835,0.0,,,,
58,03/21/24 09:30:00 PM,24.931,0.0,,,,
59,03/21/24 10:00:00 PM,25.319,0.0,,,,
60,03/21/24 10:30:00 PM,24.835,0.0,,,,
61,03/21/24 11:00:00 PM,25.222,0.0,,,,
62,03/21/24 11:30:00 PM,25.319,0.0,,,,
63,03/22/24 12:00:00 AM,25.416,0.0,,,,
64,03/22/24 12:30:00 AM,26.390,0.0,,,,
65,03/22/24 01:00:00 AM,26.585,0.0,,,,
66,03/22/24 01:30:00 AM,26.683,0.0,,,,
67,03/22/24 02:00:00 AM,26.585,0.0,,,,
68,03/22/24 02:30:00 AM,26.683,0.0,,,,
69,03/22/24 03:00:00 AM,26.879,0.0,,,,
70,03/22/24 03:30:00 AM,26.879,0.0,,,,
71,03/22/24 04:00:00 AM,26.977,0.0,,,,
72,03/22/24 04:30:00 AM,26.977,0.0,,,,
73,03/22/24 05:00:00 AM,27.075,0.0,,,,
74,03/22/24 05:30:00 AM,27.075,0.0,,,,
75,03/22/24 06:00:00 AM,27.075,0.0,,,,
76,03/22/24 06:30:00 AM,27.075,0.0,,,,
77,03/22/24 07:00:00 AM,26.977,0.0,,,,
78,03/22/24 07:30:00 AM,26.977,376.7,,,,
79,03/22/24 08:00:00 AM,27.075,2497.2,,,,
80,03/22/24 08:30:00 AM,26.781,4822.3,,,,
81,03/22/24 09:00:00 AM,26.292,4994.5,,,,
82,03/22/24 09:30:00 AM,26.585,6200.0,,,,
83,03/22/24 10:00:00 AM,26.879,7577.8,,,,
84,03/22/24 10:30:00 AM,26.879,8611.2,,,,
85,03/22/24 11:00:00 AM,27.764,12400.1,,,,
86,03/22/24 11:30:00 AM,29.152,110223.0,,,,
87,03/22/24 12:00:00 PM,28.853,46844.8,,,,
88,03/22/24 12:30:00 PM,28.953,39955.8,,,,
89,03/22/24 01:00:00 PM,28.953,21355.7,,,,
90,03/22/24 01:30:00 PM,28.953,37200.2,,,,
91,03/22/24 02:00:00 PM,28.258,22044.6,,,,
92,03/22/24 02:30:00 PM,28.258,24800.2,,,,
93,03/22/24 03:00:00 PM,28.258,18600.1,,,,
94,03/22/24 03:30:00 PM,28.060,8611.2,,,,
95,03/22/24 04:00:00 PM,28.853,10677.8,,,,
96,03/22/24 04:30:00 PM,29.252,7577.8,,,,
97,03/22/24 05:00:00 PM,29.252,6200.0,,,,
98,03/22/24 05:30:00 PM,29.252,5166.7,,,,
99,03/22/24 06:00:00 PM,29.053,4994.5,,,,
100,03/22/24 06:30:00 PM,28.953,2755.6,,,,
101,03/22/24 07:00:00 PM,28.853,882.6,,,,
102,03/22/24 07:30:00 PM,28.655,53.8,,,,
103,03/22/24 08:00:00 PM,28.555,0.0,,,,
104,03/22/24 08:30:00 PM,28.456,0.0,,,,
105,03/22/24 09:00:00 PM,27.961,0.0,,,,
106,03/22/24 09:30:00 PM,26.781,0.0,,,,
107,03/22/24 10:00:00 PM,26.585,0.0,,,,
108,03/22/24 10:30:00 PM,26.585,0.0,,,,
109,03/22/24 11:00:00 PM,26.585,0.0,,,,
110,03/22/24 11:30:00 PM,27.862,0.0,,,,
111,03/23/24 12:00:00 AM,28.060,0.0,,,,
112,03/23/24 12:30:00 AM,28.060,0.0,,,,
113,03/23/24 01:00:00 AM,27.961,0.0,,,,
114,03/23/24 01:30:00 AM,27.862,0.0,,,,
115,03/23/24 02:00:00 AM,27.764,0.0,,,,
116,03/23/24 02:30:00 AM,27.764,0.0,,,,
117,03/23/24 03:00:00 AM,27.764,0.0,,,,
118,03/23/24 03:30:00 AM,27.764,0.0,,,,
119,03/23/24 04:00:00 AM,27.764,0.0,,,,
120,03/23/24 04:30:00 AM,27.862,0.0,,,,
121,03/23/24 05:00:00 AM,27.961,0.0,,,,
