tin_weight,Site,Rep,Treatment,Category ,wet_weight,dry_weight,wet_minus_tin,dry_minus_tin,wet_minus_dry,Date_into_oven,Date_out_of_oven,
1.11,S,2,Cage,mobile inverts,1.62,1.33,0.51,0.22,0.29,9-20-24,9-24-24,1 and 4 mixed up
0.95,S,4,Cage,mobile inverts,0.97,0.98,0.02,0.03,-0.01,9-20-24,9-24-24,
1.11,S,7,Control,algae,2.72,1.25,1.61,0.14,1.47,9-20-24,9-24-24,
1.32,S,2,Cage,algae,4.69,2.04,3.37,0.72,2.65,9-20-24,9-24-24,
0.92,S,7,Control,barn,1.54,1.34,0.62,0.42,0.20,9-20-24,9-24-24,
0.95,S,7,Cage,mobile inverts,1.1,1.03,0.15,0.08,0.07,9-20-24,9-24-24,
0.73,S,4,Cage,other inverts,1.74,0.96,1.01,0.23,0.78,9-20-24,9-24-24,
1.21,S,5,Roof,barn,29.65,22.26,28.44,21.05,7.39,9-20-24,9-24-24,
1.12,S,5,Cage,other inverts,24.62,3.98,23.5,2.86,20.64,9-20-24,9-24-24,
1,S,2,Cage,barn,2.09,1.67,1.09,0.67,0.42,9-20-24,9-24-24,
0.94,S,4,Roof,algae,1,0.98,0.06,0.04,0.02,9-20-24,9-24-24,
0.94,S,2,Cage,other inverts,4.36,1.54,3.42,0.6,2.82,9-20-24,9-24-24,
0.76,S,7,Control,mobile inverts,0.87,0.8,0.11,0.04,0.07,9-20-24,9-24-24,
0.94,S,4,Cage,algae,5.03,2.16,4.09,1.22,2.87,9-20-24,9-24-24,
1.09,S,5,Roof,mobile inverts,2.33,1.91,1.24,0.82,0.42,9-20-24,9-24-24,
1.09,S,5,Control,barn,23.17,18.27,22.08,17.18,4.90,9-20-24,9-24-24,
0.79,S,6,Roof,mobile inverts,1.11,0.91,0.32,0.12,0.20,9-20-24,9-24-24,
1.14,S,3,Cage,barn,4.97,3.25,3.83,2.11,1.72,9-20-24,9-24-24,
0.73,S,3,Cage,algae,2.77,1.48,2.04,0.75,1.29,9-20-24,9-24-24,
1.05,S,3,Roof,barn,25.04,16.74,23.99,15.69,8.30,9-20-24,9-24-24,
0.94,S,3,Cage,mobile inverts,1.7,1.48,0.76,0.54,0.22,9-20-24,9-24-24,
0.92,S,3,Control,algae,2.05,1.17,1.13,0.25,0.88,9-20-24,9-24-24,
0.9,S,5,Cage,barn,3.53,2.66,2.63,1.76,0.87,9-20-24,9-24-24,
1.15,S,1,Control,barn,1.72,1.41,0.57,0.26,0.31,9-20-24,9-24-24,
0.98,S,1,Roof,other inverts,2.13,1.52,1.15,0.54,0.61,9-20-24,9-24-24,
0.94,S,3,Roof,algae,1.41,1.16,0.47,0.22,0.25,9-20-24,9-24-24,
0.75,S,4,Roof,mobile inverts,0.93,0.85,0.18,0.1,0.08,9-20-24,9-24-24,
1.15,S,6,Cage,other inverts,13.3,3.14,12.15,1.99,10.16,9-20-24,9-24-24,
0.75,S,5,Cage,mobile inverts,2.51,1.73,1.76,0.98,0.78,9-20-24,9-24-24,
0.69,S,3,Roof,other inverts,0.77,0.76,0.08,0.07,0.01,9-20-24,9-24-24,
1.35,N,4,Cage,other inverts,5.39,2.2,4.04,0.85,3.19,9-20-24,9-24-24,
1.04,S,4,Roof,other inverts,1.06,1.01,0.02,-0.03,0.05,9-20-24,9-24-24,
0.88,S,3,Cage,other inverts,2.57,1.42,1.69,0.54,1.15,9-20-24,9-24-24,
0.92,S,6,Control,algae,1.67,1.06,0.75,0.14,0.61,9-20-24,9-24-24,
1.28,S,6,Cage,barn,5.08,3.39,3.8,2.11,1.69,9-20-24,9-24-24,
1.1,S,4,Control,algae,1.28,1.13,0.18,0.03,0.15,9-20-24,9-24-24,
1.15,S,1,Control,algae,1.45,1.21,0.3,0.06,0.24,9-20-24,9-24-24,
0.88,S,1,Cage,other inverts,0.92,0.91,0.04,0.03,0.01,9-20-24,9-24-24,
0.94,S,6,Cage,other inverts,3.49,2.14,2.55,1.2,1.35,9-20-24,9-24-24,
